Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value,Library,Keyword
297,regulation of angiogenesis (GO:0045765),0.017272913788451638,10.933665008291873,44.37554425782287,"['ERBB2', 'VEGFA']",0.03790766985787708,0,0,GO_Biological_Process_2021,angiogenesis
304,cell migration involved in sprouting angiogenesis (GO:0002042),0.017855195476470426,61.804953560371516,248.79341471282055,['VEGFA'],0.03816110405755444,0,0,GO_Biological_Process_2021,angiogenesis
301,regulation of transcription by RNA polymerase I (GO:0006356),0.017855195476470426,61.804953560371516,248.79341471282055,['ERBB2'],0.03816110405755444,0,0,GO_Biological_Process_2021,RAS
299,positive regulation of cell migration involved in sprouting angiogenesis (GO:0090050),0.017855195476470426,61.804953560371516,248.79341471282055,['VEGFA'],0.03816110405755444,0,0,GO_Biological_Process_2021,angiogenesis
206,Hypoxia and p53 in the cardiovascular system,0.02276098349039011,47.74641148325359,180.61070687273846,['TP53'],0.03836851502665761,0,0,BioPlanet_2019,p53
214,Apoptosis,0.024003435808435614,9.13888888888889,34.08401891012091,"['BCL2', 'TP53']",0.03970661811301966,0,0,BioPlanet_2019,apoptosis
225,Cell cycle: G2/M checkpoint,0.02666884553614584,40.392712550607285,146.39366123411943,['TP53'],0.04069297982670529,0,0,BioPlanet_2019,cell cycle
231,VEGFR1 pathway,0.02666884553614584,40.392712550607285,146.39366123411943,['VEGFA'],0.04069297982670529,0,0,BioPlanet_2019,EGFR
222,Ras signaling pathway,0.025693274055310834,42.01052631578948,153.82263569148483,['RAF1'],0.04069297982670529,0,0,BioPlanet_2019,RAS
229,EGFR downregulation,0.02666884553614584,40.392712550607285,146.39366123411943,['EGFR'],0.04069297982670529,0,0,BioPlanet_2019,EGFR
329,positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus (GO:1901522),0.020801468010995312,52.526315789473685,203.4203291515269,['VEGFA'],0.04135003063583871,0,0,GO_Biological_Process_2021,RAS
326,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771),0.020801468010995312,52.526315789473685,203.4203291515269,['TP53'],0.04135003063583871,0,0,GO_Biological_Process_2021,p53
323,regulation of cardiac muscle cell proliferation (GO:0060043),0.020801468010995312,52.526315789473685,203.4203291515269,['ERBB4'],0.04135003063583871,0,0,GO_Biological_Process_2021,cell proliferation
38,histone acetyltransferase binding (GO:0035035),0.020801468010995312,52.526315789473685,203.4203291515269,['TP53'],0.041602936021990625,0,0,GO_Molecular_Function_2021,RAS
233,Cell cycle: G1/S checkpoint,0.02764348904824574,38.89473684210526,139.56851455439977,['TP53'],0.04199912069990984,0,0,BioPlanet_2019,cell cycle
103,VEGFR2 Mediated Cell Proliferation R-HSA-5218921,0.017855195476470426,61.804953560371516,248.79341471282055,['VEGFA'],0.04225871123722121,0,0,Reactome_2022,EGFR
108,Regulation Of TP53 Activity Thru Methylation R-HSA-6804760,0.018838220672014273,58.36842105263158,231.83163218032678,['TP53'],0.04225871123722121,0,0,Reactome_2022,p53
102,TP53 Regulates Transcription Of Genes Involved In G2 Cell Cycle Arrest R-HSA-6804114,0.017855195476470426,61.804953560371516,248.79341471282055,['TP53'],0.04225871123722121,0,0,Reactome_2022,cell cycle
111,Signaling By PDGFR In Disease R-HSA-9671555,0.018838220672014273,58.36842105263158,231.83163218032678,['PDGFRA'],0.04225871123722121,0,0,Reactome_2022,PDGF
105,Constitutive Signaling By Ligand-Responsive EGFR Cancer Variants R-HSA-1236382,0.017855195476470426,61.804953560371516,248.79341471282055,['EGFR'],0.04225871123722121,0,0,Reactome_2022,EGFR
332,regulation of execution phase of apoptosis (GO:1900117),0.02178169181492411,50.02255639097744,191.42059056605152,['TP53'],0.04252306402077721,0,0,GO_Biological_Process_2021,apoptosis
333,positive regulation of neural precursor cell proliferation (GO:2000179),0.02178169181492411,50.02255639097744,191.42059056605152,['VEGFA'],0.04252306402077721,0,0,GO_Biological_Process_2021,neural
237,Influence of Ras and Rho proteins on G1 to S transition,0.028617205427454835,37.50375939849624,133.2788782141628,['RAF1'],0.0425650870643656,0,0,BioPlanet_2019,RAS
346,positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261),0.02276098349039011,47.74641148325359,180.61070687273846,['TP53'],0.04289822248621075,0,0,GO_Biological_Process_2021,RAS
345,positive regulation of transcription by RNA polymerase I (GO:0045943),0.02276098349039011,47.74641148325359,180.61070687273846,['ERBB2'],0.04289822248621075,0,0,GO_Biological_Process_2021,RAS
112,TP53 Regulates Transcription Of Genes Involved In Cytochrome C Release R-HSA-6803204,0.019820311238232097,55.29362880886426,216.80897525048422,['TP53'],0.043291732441401685,0,0,Reactome_2022,p53
115,TP53 Regulates Transcription Of Additional Cell Cycle Genes With Uncertain Roles In P53 Pathway R-HSA-6804115,0.020801468010995312,52.526315789473685,203.4203291515269,['TP53'],0.04465142702360201,0,0,Reactome_2022,cell cycle
361,positive regulation of G1/S transition of mitotic cell cycle (GO:1900087),0.025693274055310834,42.01052631578948,153.82263569148483,['EGFR'],0.04603671570458434,0,0,GO_Biological_Process_2021,cell cycle
246,Induction of apoptosis through DR3 and DR4/5 death receptors,0.033471909401101146,31.8133971291866,108.07165990908112,['BCL2'],0.04777845132253954,0,0,BioPlanet_2019,apoptosis
255,PIK3C1/AKT pathway,0.03444008042248791,30.876160990712073,104.00740624656505,['RAF1'],0.04781093517474792,0,0,BioPlanet_2019,AKT
251,Interleukin-2/PI3K pathway,0.03444008042248791,30.876160990712073,104.00740624656505,['BCL2'],0.04781093517474792,0,0,BioPlanet_2019,PI3K
120,Defective Intrinsic Pathway For Apoptosis R-HSA-9734009,0.023739343866497245,45.66819221967963,170.827422984315,['TP53'],0.04845161166194929,0,0,Reactome_2022,apoptosis
122,Signaling By EGFR In Cancer R-HSA-1643713,0.023739343866497245,45.66819221967963,170.827422984315,['EGFR'],0.04845161166194929,0,0,Reactome_2022,EGFR
383,negative regulation of transferase activity (GO:0051348),0.028617205427454835,37.50375939849624,133.2788782141628,['TP53'],0.048865933027559955,0,0,GO_Biological_Process_2021,RAS
384,positive regulation of B cell proliferation (GO:0030890),0.02958999550324173,36.208711433756804,127.46621354176987,['BCL2'],0.049875920255464154,0,0,GO_Biological_Process_2021,cell proliferation
