Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
63,positive regulation of gene expression (GO:0010628),9.149222936825677e-05,13.628930817610064,126.73892368759873,"['ERBB2', 'BRAF', 'TP53', 'EGFR', 'VEGFA']",0.0009497764762990465,0,0
64,cardiac myofibril assembly (GO:0055003),9.897575036981038e-05,170.65811965811966,1573.5763478145914,"['PDGFRB', 'PDGFRA']",0.0010114084490914998,0,0
65,regulation of peptidyl-tyrosine phosphorylation (GO:0050730),0.00010145759537430765,39.44018506278916,362.68679987613535,"['TP53', 'EGFR', 'VEGFA']",0.0010208194980738032,0,0
66,regulation of epithelial cell proliferation (GO:0050678),0.00010477271693988004,39.0,357.3849690260219,"['ERBB2', 'EGFR', 'VEGFA']",0.0010382023769497204,0,0
67,resolution of meiotic recombination intermediates (GO:0000712),0.00011304743026189121,158.46031746031747,1440.0403167035038,"['TOP2A', 'TOP2B']",0.001056185991303955,0,0
68,body fluid secretion (GO:0007589),0.00011304743026189121,158.46031746031747,1440.0403167035038,"['ERBB4', 'VEGFA']",0.001056185991303955,0,0
69,regulation of ERBB signaling pathway (GO:1901184),0.00011304743026189121,158.46031746031747,1440.0403167035038,"['ERBB2', 'EGFR']",0.001056185991303955,0,0
70,platelet-derived growth factor receptor signaling pathway (GO:0048008),0.00011304743026189121,158.46031746031747,1440.0403167035038,"['PDGFRB', 'PDGFRA']",0.001056185991303955,0,0
71,regulation of protein phosphorylation (GO:0001932),0.00012530714424629908,18.814885496183205,169.04690474737615,"['ERBB4', 'ERBB2', 'EGFR', 'VEGFA']",0.0011542376385504168,0,0
72,vasculature development (GO:0001944),0.0001280437171265482,147.88888888888889,1325.5486399086653,"['PDGFRB', 'PDGFRA']",0.0011630637638994795,0,0
73,positive regulation of cell growth (GO:0030307),0.00013783717764729214,35.43850267379679,315.0283525400414,"['ERBB2', 'BCL2', 'EGFR']",0.0012348700572784802,0,0
74,regulation of single stranded viral RNA replication via double stranded DNA intermediate (GO:0045091),0.00014396293387323563,138.63888888888889,1226.393330101256,"['TOP2A', 'TOP2B']",0.0012388389309617909,0,0
75,DNA conformation change (GO:0071103),0.00014396293387323563,138.63888888888889,1226.393330101256,"['TOP2A', 'TOP2B']",0.0012388389309617909,0,0
76,regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798),0.00014396293387323563,138.63888888888889,1226.393330101256,"['TP53', 'EGFR']",0.0012388389309617909,0,0
77,positive regulation of cellular metabolic process (GO:0031325),0.00015020150248208045,34.391003460207614,302.7623275190411,"['PDGFRB', 'TP53', 'VEGFA']",0.0012757374366659821,0,0
78,female gonad development (GO:0008585),0.00021683563043902658,110.88888888888889,935.4998014387867,"['KIT', 'VEGFA']",0.0018180833629118382,0,0
79,positive regulation of epithelial cell proliferation (GO:0050679),0.00023970783029859157,29.205882352941178,243.46285652146054,"['ERBB2', 'EGFR', 'VEGFA']",0.001984416721712391,0,0
80,cellular response to oxidative stress (GO:0034599),0.0002513709619528748,28.72420443587271,238.08288863096325,"['PDGFRA', 'TP53', 'EGFR']",0.0020549576139647515,0,0
81,mammary gland development (GO:0030879),0.00025876610708752327,100.79797979797979,832.5495793111635,"['ERBB4', 'VEGFA']",0.0020638174882346367,0,0
82,positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003),0.00025876610708752327,100.79797979797979,832.5495793111635,"['TP53', 'VEGFA']",0.0020638174882346367,0,0
83,positive regulation of macromolecule biosynthetic process (GO:0010557),0.000275787437045545,27.80672268907563,227.90056637383262,"['PDGFRB', 'ERBB2', 'EGFR']",0.0021730720943106798,0,0
84,positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900740),0.00030434158117427734,92.38888888888889,748.1060808668657,"['BCL2', 'TP53']",0.002341639930446793,0,0
85,regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900739),0.00030434158117427734,92.38888888888889,748.1060808668657,"['BCL2', 'TP53']",0.002341639930446793,0,0
86,positive regulation of gene silencing by miRNA (GO:2000637),0.0003284920428102522,88.68888888888888,711.3733953565135,"['TP53', 'EGFR']",0.002498067395324476,0,0
87,cellular response to epidermal growth factor stimulus (GO:0071364),0.0003535487787187227,85.27350427350427,677.710245242856,"['ERBB2', 'EGFR']",0.002657711508989019,0,0
88,cellular response to DNA damage stimulus (GO:0006974),0.0003577955303383317,14.186416184971097,112.57699905417066,"['TOP2A', 'MGMT', 'BCL2', 'TP53']",0.002659071327741692,0,0
89,positive regulation of viral genome replication (GO:0045070),0.0003795101348772626,82.11111111111111,646.758779988934,"['TOP2A', 'TOP2B']",0.002788759867525053,0,0
90,artery morphogenesis (GO:0048844),0.00040637445946356223,79.17460317460318,618.2139479571657,"['PDGFRB', 'VEGFA']",0.002952987738768552,0,0
91,positive regulation of intracellular protein transport (GO:0090316),0.00041270883760580635,24.13995943204868,188.117108388032,"['ERBB2', 'BCL2', 'TP53']",0.0029660613164197514,0,0
92,hematopoietic progenitor cell differentiation (GO:0002244),0.0004628054168177868,73.88888888888889,567.3339517497183,"['KIT', 'TP53']",0.0032199440702003466,0,0
93,regulation of chemotaxis (GO:0050920),0.0004628054168177868,73.88888888888889,567.3339517497183,"['PDGFRB', 'PDGFRA']",0.0032199440702003466,0,0
94,positive regulation of receptor signaling pathway via STAT (GO:1904894),0.0004628054168177868,73.88888888888889,567.3339517497183,"['ERBB4', 'KIT']",0.0032199440702003466,0,0
95,apoptotic mitochondrial changes (GO:0008637),0.0004923687563769557,71.50179211469533,544.5778563946176,"['ERBB4', 'BCL2']",0.0033196821306240108,0,0
96,positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427),0.0004923687563769557,71.50179211469533,544.5778563946176,"['ERBB4', 'KIT']",0.0033196821306240108,0,0
97,vasculogenesis (GO:0001570),0.0004923687563769557,71.50179211469533,544.5778563946176,"['PDGFRB', 'VEGFA']",0.0033196821306240108,0,0
98,cellular response to growth factor stimulus (GO:0071363),0.000499603264385389,22.571157495256166,171.5790831936098,"['ERBB2', 'EGFR', 'VEGFA']",0.003334087090898412,0,0
99,positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901030),0.0005228284778315545,69.26388888888889,523.3757526021546,"['BCL2', 'TP53']",0.0034192982450183666,0,0
100,sister chromatid segregation (GO:0000819),0.0005228284778315545,69.26388888888889,523.3757526021546,"['TOP2A', 'TOP2B']",0.0034192982450183666,0,0
101,regulation of MAPK cascade (GO:0043408),0.0005769863133914015,21.454709491158425,160.00261559263004,"['KIT', 'ERBB2', 'EGFR']",0.003736129197603729,0,0
102,negative regulation of ERBB signaling pathway (GO:1901185),0.0007243190568082219,58.30994152046784,421.5971209696659,"['ERBB2', 'EGFR']",0.004547667624379081,0,0
