Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value,Library
20,Signaling By ERBB2 KD Mutants R-HSA-9664565,1.7076087361357007e-06,167.72268907563026,2227.4271785014485,"['ERBB4', 'ERBB2', 'EGFR']",2.1259728764889473e-05,0,0,Reactome_2022
6,growth factor receptor binding (GO:0070851),3.257034782011995e-06,49.20544554455446,621.6957157320727,"['PDGFRB', 'PDGFRA', 'ERBB4', 'VEGFA']",4.1255773905485266e-05,0,0,GO_Molecular_Function_2021
7,protein homodimerization activity (GO:0042803),2.6736529631754238e-05,13.16326530612245,138.60233583512428,"['TOP2A', 'PDGFRA', 'ERBB4', 'KIT', 'BCL2', 'VEGFA']",0.0002902823217161889,0,0,GO_Molecular_Function_2021
8,platelet-derived growth factor binding (GO:0048407),5.196871583395421e-05,246.55555555555554,2432.2381677726335,"['PDGFRB', 'PDGFRA']",0.000493702800422565,0,0,GO_Molecular_Function_2021
9,histone deacetylase binding (GO:0042826),0.00010477271693988004,39.0,357.3849690260219,"['TOP2A', 'TOP2B', 'TP53']",0.0008847473874923204,0,0,GO_Molecular_Function_2021
10,ubiquitin protein ligase binding (GO:0031625),0.00012350216140739027,18.887931034482758,169.97724926377555,"['TUBB', 'BCL2', 'TP53', 'EGFR']",0.000938616426696166,0,0,GO_Molecular_Function_2021
11,ubiquitin-like protein ligase binding (GO:0044389),0.000156870264629672,17.717625899280577,155.20802287396413,"['TUBB', 'BCL2', 'TP53', 'EGFR']",0.001083830919259552,0,0,GO_Molecular_Function_2021
12,phosphatase binding (GO:0019902),0.00019156866854517246,31.58823529411765,270.4036407129932,"['ERBB2', 'TP53', 'EGFR']",0.0012132682341194254,0,0,GO_Molecular_Function_2021
13,protein phosphatase binding (GO:0019903),0.00023970783029859157,29.205882352941178,243.46285652146054,"['ERBB2', 'TP53', 'EGFR']",0.0014013688540533045,0,0,GO_Molecular_Function_2021
14,protein kinase C binding (GO:0005080),0.0009165786855226654,51.51679586563308,360.3529107334306,"['TOP2A', 'TOP2B']",0.004975712864265898,0,0,GO_Molecular_Function_2021
15,protein kinase binding (GO:0019901),0.0014211618816635622,9.700199203187251,63.597227031453805,"['PDGFRB', 'TOP2A', 'TOP2B', 'TP53']",0.007200553533762049,0,0,GO_Molecular_Function_2021
16,protein serine/threonine kinase activity (GO:0004674),0.0046276343521876795,10.16336035880628,54.63527263467614,"['BRAF', 'RAF1', 'EGFR']",0.021981263172891476,0,0,GO_Molecular_Function_2021
18,BH domain binding (GO:0051400),0.0059856908667451705,210.26315789473685,1076.2074808846232,['BCL2'],0.022141106540663653,0,0,GO_Molecular_Function_2021
19,BH3 domain binding (GO:0051434),0.0059856908667451705,210.26315789473685,1076.2074808846232,['BCL2'],0.022141106540663653,0,0,GO_Molecular_Function_2021
20,DNA-methyltransferase activity (GO:0009008),0.0059856908667451705,210.26315789473685,1076.2074808846232,['MGMT'],0.022141106540663653,0,0,GO_Molecular_Function_2021
17,ErbB-3 class receptor binding (GO:0043125),0.00499044069595166,262.8421052631579,1393.123889480945,['ERBB2'],0.022141106540663653,0,0,GO_Molecular_Function_2021
